               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.040103,            0.010946,           0.0048742,             0.95285,             0.90266,             0.98333,             0.63245,            0.011992,           0.0053807,           0.0010837,             0.00615,             0.00615,             0.00615
                  37,            0.038322,            0.011071,           0.0043412,             0.85163,             0.98526,             0.98738,             0.71148,            0.010246,           0.0052058,          0.00097918,             0.00604,             0.00604,             0.00604
                  38,            0.036661,             0.01103,           0.0045539,              0.9709,             0.89956,             0.97648,             0.70657,            0.011209,           0.0055068,           0.0010125,             0.00593,             0.00593,             0.00593
                  39,            0.038405,            0.011038,           0.0032859,             0.95579,             0.94814,             0.98611,             0.68935,            0.011816,           0.0058041,          0.00096156,             0.00582,             0.00582,             0.00582
                  40,            0.040371,            0.010876,            0.003523,             0.96294,             0.92266,             0.98452,             0.60216,            0.012534,           0.0057438,          0.00084928,             0.00571,             0.00571,             0.00571
                  41,            0.039704,            0.010176,           0.0033986,             0.84187,             0.97222,             0.96013,             0.70319,            0.012066,           0.0058631,          0.00087602,              0.0056,              0.0056,              0.0056
                  42,            0.039615,            0.010698,           0.0030957,             0.91333,             0.97198,             0.98361,             0.66088,            0.010508,           0.0059504,          0.00091302,             0.00549,             0.00549,             0.00549
                  43,             0.04085,            0.011245,           0.0032836,             0.96124,             0.93874,              0.9823,             0.69517,            0.011288,           0.0056763,          0.00094426,             0.00538,             0.00538,             0.00538
                  44,             0.03927,            0.010939,           0.0040932,             0.96604,             0.91229,             0.97294,             0.66851,            0.012165,           0.0053955,           0.0010297,             0.00527,             0.00527,             0.00527
                  45,            0.043244,           0.0098347,           0.0045702,             0.93268,             0.89218,             0.95207,             0.64638,            0.010867,           0.0053993,           0.0010273,             0.00516,             0.00516,             0.00516
                  46,            0.034373,            0.010069,            0.003064,             0.95803,             0.88843,             0.94568,             0.68528,            0.010673,           0.0051855,          0.00078431,             0.00505,             0.00505,             0.00505
                  47,            0.039708,            0.010502,           0.0030735,             0.82672,             0.94289,              0.9412,             0.67395,            0.010227,           0.0053925,          0.00069929,             0.00494,             0.00494,             0.00494
                  48,             0.03887,           0.0099484,           0.0034233,             0.92771,             0.86111,             0.94947,             0.65119,            0.011164,           0.0060313,           0.0007017,             0.00483,             0.00483,             0.00483
                  49,            0.038612,            0.010146,           0.0033416,             0.92938,             0.97222,             0.97961,             0.68422,            0.011435,           0.0058524,          0.00072847,             0.00472,             0.00472,             0.00472
                  50,            0.037549,           0.0099621,           0.0027622,             0.90572,             0.97206,             0.97667,             0.71627,            0.010745,           0.0054398,          0.00073608,             0.00461,             0.00461,             0.00461
                  51,            0.039034,           0.0099112,           0.0027227,             0.89863,             0.94428,             0.95861,              0.6876,            0.010317,           0.0048849,          0.00079394,              0.0045,              0.0045,              0.0045
                  52,            0.036476,            0.010067,           0.0036732,             0.93894,             0.93066,             0.96927,             0.70181,            0.010293,           0.0047847,           0.0008248,             0.00439,             0.00439,             0.00439
                  53,            0.037715,           0.0094521,           0.0025501,             0.93264,             0.92717,             0.97472,             0.67198,           0.0099666,           0.0049833,          0.00077011,             0.00428,             0.00428,             0.00428
                  54,            0.033986,           0.0096609,           0.0019932,             0.96898,             0.87821,             0.96306,             0.71526,            0.009887,           0.0051646,          0.00072443,             0.00417,             0.00417,             0.00417
                  55,            0.033454,           0.0098212,            0.002684,             0.97173,             0.87056,             0.96306,             0.73489,            0.009124,            0.005357,          0.00069067,             0.00406,             0.00406,             0.00406
                  56,            0.034652,           0.0098098,           0.0030774,              0.9776,             0.90535,             0.97758,             0.75727,           0.0092283,           0.0053342,          0.00067443,             0.00395,             0.00395,             0.00395
                  57,            0.033586,           0.0094603,           0.0026642,             0.93683,             0.96723,             0.98139,             0.73497,           0.0093103,           0.0054336,          0.00064901,             0.00384,             0.00384,             0.00384
                  58,             0.03473,           0.0092571,           0.0029195,             0.96865,             0.91654,              0.9798,             0.73482,           0.0096077,           0.0057152,          0.00067774,             0.00373,             0.00373,             0.00373
                  59,            0.034769,            0.009629,           0.0024084,             0.91366,              0.9584,              0.9798,             0.76229,           0.0088732,           0.0055373,          0.00068532,             0.00362,             0.00362,             0.00362
                  60,            0.031103,           0.0090543,           0.0030424,             0.94864,             0.91817,              0.9798,             0.72432,            0.009867,            0.005472,          0.00066596,             0.00351,             0.00351,             0.00351
                  61,            0.033689,           0.0089924,           0.0028037,             0.96906,             0.94438,             0.98167,             0.72504,           0.0092192,           0.0053312,          0.00063311,              0.0034,              0.0034,              0.0034
                  62,            0.032362,           0.0092022,           0.0026038,             0.94753,             0.91673,             0.98125,              0.7245,           0.0084674,           0.0052018,          0.00061641,             0.00329,             0.00329,             0.00329
                  63,            0.030703,           0.0087882,            0.002671,             0.92047,             0.93342,             0.97802,             0.73758,           0.0089406,           0.0050737,          0.00058154,             0.00318,             0.00318,             0.00318
                  64,            0.031602,           0.0094182,            0.002869,             0.88208,             0.97222,             0.97558,             0.75243,           0.0085182,           0.0050533,          0.00055266,             0.00307,             0.00307,             0.00307
                  65,            0.029726,           0.0092113,            0.002143,             0.93507,             0.96717,             0.97889,             0.73124,           0.0082879,           0.0051411,          0.00053711,             0.00296,             0.00296,             0.00296
                  66,             0.03129,           0.0090906,           0.0023679,             0.93722,             0.96417,             0.97889,             0.75049,           0.0082435,           0.0047236,           0.0005133,             0.00285,             0.00285,             0.00285
                  67,            0.029626,           0.0092781,           0.0025108,             0.93669,             0.93512,             0.97929,             0.73461,           0.0089002,           0.0045031,          0.00048083,             0.00274,             0.00274,             0.00274
                  68,            0.028385,            0.009526,           0.0020676,             0.89933,             0.95545,              0.9679,             0.75415,           0.0088757,           0.0044503,          0.00047174,             0.00263,             0.00263,             0.00263
                  69,            0.030393,           0.0087432,           0.0023245,             0.89555,             0.93892,             0.96083,             0.76625,           0.0084198,           0.0042486,          0.00046105,             0.00252,             0.00252,             0.00252
                  70,            0.027999,           0.0091386,           0.0026422,             0.88943,             0.93682,             0.96083,             0.73328,            0.007994,           0.0044846,          0.00046697,             0.00241,             0.00241,             0.00241
                  71,            0.027799,           0.0091054,           0.0017825,             0.89662,             0.95909,             0.96437,             0.73225,           0.0083176,           0.0046596,          0.00045079,              0.0023,              0.0023,              0.0023
                  72,            0.029205,           0.0095313,           0.0024981,             0.90665,             0.95244,             0.97548,             0.75247,            0.008397,            0.004715,          0.00042116,             0.00219,             0.00219,             0.00219
                  73,            0.025378,           0.0090931,           0.0015606,             0.92338,             0.93884,             0.97548,             0.75297,           0.0079156,           0.0046577,          0.00039421,             0.00208,             0.00208,             0.00208
                  74,             0.02484,           0.0088629,           0.0014322,             0.90903,             0.93927,             0.97262,              0.7628,           0.0082564,            0.004507,          0.00038916,             0.00197,             0.00197,             0.00197
                  75,            0.026967,           0.0085031,           0.0021466,             0.95789,             0.89994,             0.97643,             0.77719,           0.0084833,           0.0047041,          0.00039959,             0.00186,             0.00186,             0.00186
                  76,            0.026613,           0.0082814,           0.0019016,             0.95696,             0.89963,             0.97643,             0.77595,           0.0080936,           0.0047746,          0.00038621,             0.00175,             0.00175,             0.00175
                  77,            0.024931,           0.0088403,           0.0018251,             0.99144,             0.92525,             0.98833,              0.7822,           0.0080231,           0.0050579,          0.00036887,             0.00164,             0.00164,             0.00164
                  78,            0.024046,            0.008139,           0.0011429,             0.95928,             0.89614,             0.97222,             0.77512,           0.0080173,           0.0051478,          0.00036057,             0.00153,             0.00153,             0.00153
                  79,            0.023931,           0.0085062,           0.0022428,             0.95982,             0.89707,             0.97222,             0.78248,           0.0079491,           0.0048529,          0.00034873,             0.00142,             0.00142,             0.00142
                  80,              0.0236,           0.0090211,           0.0011144,             0.96033,             0.89705,             0.97508,             0.77337,           0.0077683,           0.0046073,          0.00033728,             0.00131,             0.00131,             0.00131
                  81,            0.024156,           0.0086052,           0.0011213,             0.90625,             0.95386,             0.97508,             0.78692,           0.0076737,           0.0046283,          0.00032973,              0.0012,              0.0012,              0.0012
                  82,            0.024274,            0.008835,           0.0013245,             0.95649,             0.91127,             0.97508,             0.78375,           0.0077489,           0.0047423,          0.00032654,             0.00109,             0.00109,             0.00109
                  83,            0.023436,           0.0088547,           0.0018054,             0.95628,             0.91473,             0.97508,             0.78816,           0.0079721,           0.0048249,          0.00032084,             0.00098,             0.00098,             0.00098
                  84,            0.024715,           0.0082438,             0.00257,              0.9572,             0.91238,             0.97508,             0.79435,           0.0080054,           0.0050074,          0.00031521,             0.00087,             0.00087,             0.00087
                  85,            0.023013,           0.0087154,           0.0016512,             0.95835,             0.91172,             0.97508,             0.77815,           0.0078147,           0.0049679,          0.00031173,             0.00076,             0.00076,             0.00076
                  86,            0.024626,           0.0079892,           0.0010061,             0.95246,             0.92096,              0.9798,             0.79321,           0.0076197,           0.0048615,          0.00030747,             0.00065,             0.00065,             0.00065
                  87,            0.022388,           0.0082176,             0.00163,             0.98366,             0.94924,             0.99119,             0.79445,           0.0076952,           0.0048531,          0.00030461,             0.00054,             0.00054,             0.00054
                  88,            0.022476,           0.0080767,           0.0013054,             0.95177,             0.90907,             0.97744,             0.79373,           0.0077245,             0.00482,          0.00030104,             0.00043,             0.00043,             0.00043
                  89,            0.021277,           0.0077728,           0.0017163,             0.95201,             0.90467,             0.97458,             0.79519,           0.0076888,           0.0048482,          0.00030046,             0.00032,             0.00032,             0.00032
